id;sid;company_name;bic_code;npwp;npwp_reg_date;skd;skd_exp_date;company_establish_place;company_establish_date;business_type;company_characteristic;fund_source;fund_source_text;article_association;business_reg_no;financial_asset_1;financial_asset_2;financial_asset_3;operating_profit_1;operating_profit_2;operating_profit_3;description;investment_objective;direct_sid;asset_owner;sup_doc_type;sup_doc_exp_date;tax_id;legal_domicile_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Shirt Kids;open-source Kuwait optical;online Utah COM;Botswana;2019-12-09;Associate;2019-12-09;Upgradable Small Metal Computer;2019-12-08;S;B;Congolese Franc;Architect Developer;Automotive;invoice;86791;58011;45473;25422;51559;52173;open-source Burundi;Music;Metal;l;f;2019-12-09;44375;23456;2019-12-08;2019-12-08T05:13:33;17714;2019-12-08;2019-12-08T11:43:23;66163
2;Representative ;Auto Loan Account;COM back up Frozen;East Caribbean Dollar Nepalese Rupee lavender;2019-12-08;whiteboard payment Incredible;2019-12-08;Orchestrator;2019-12-09;F;F;Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;29686;54448;64907;575;32838;32458;seamless mesh;disinterme;deploy Advanced;N;P;2019-12-08;75934;46349;2019-12-08;2019-12-08T19:13:52;54236;2019-12-08;2019-12-08T05:30:38;51908
3;Unions Jewelery;Shirt Moldova;Kyrgyz Republic;unleash Slovenia;2019-12-08;capacitor Andorra overriding;2019-12-08;Dynamic;2019-12-09;F;A;yellow Shoes;Open-source multi-tasking;Data;Moldova archive;61033;71763;71615;39990;27262;97672;bypassing Christmas Island;Dong;haptic;c;m;2019-12-08;25656;91775;2019-12-08;2019-12-08T18:09:26;48354;2019-12-09;2019-12-08T09:00:08;81574
4;integrate New C;Solutions;invoice Cambridgeshi;Secured olive;2019-12-08;action-items;2019-12-08;Legacy efficient Exclusive;2019-12-08;o;n;Savings Account Landing Delawa;Re-engineered;RSS sky blue Intelligent;model;23024;60709;20618;54669;63796;23194;benchmark;Sleek Wood;Russian Ruble d;R;D;2019-12-09;81870;10410;2019-12-08;2019-12-08T10:57:43;33722;2019-12-08;2019-12-08T06:36:49;27416
5;Gorgeous Generi;monetize;Future-proofed exten;convergence;2019-12-08;Turkish Lira;2019-12-09;payment;2019-12-08;C;c;reintermediate efficient Produ;Hill Awesome Rubber Computer;Directives payment override;Indonesia;9667;42268;45037;82180;75616;123;moratorium Consultant;Markets Cr;Liaison Industr;A;G;2019-12-08;75527;86468;2019-12-09;2019-12-08T13:44:33;82606;2019-12-08;2019-12-08T09:34:39;15930
6;Small Wooden Gl;Incredible Integration;Bedfordshire navigat;Village;2019-12-08;Avon Forward Borders;2019-12-08;navigating tan;2019-12-08;G;C;back-end digital secured line;Graphic Interface;Keyboard;Future-proofed Metrics North Carolina;93273;82248;57516;13252;47935;86201;Investor;Rubber Leg;Gloves Cambridg;w;S;2019-12-09;23255;96311;2019-12-09;2019-12-08T15:09:26;77672;2019-12-08;2019-12-09T01:25:02;43249
7;task-force Camb;attitude-oriented quantifying;red;Credit Card Account intuitive;2019-12-08;South Carolina;2019-12-08;green Cambridgeshire;2019-12-08;C;A;Keyboard;Soft;attitude-oriented;Saudi Riyal;6229;61805;50942;63318;99669;22889;Polarised orange Soap;Suriname m;optical;P;I;2019-12-09;73361;38707;2019-12-08;2019-12-08T05:12:52;1103;2019-12-08;2019-12-08T18:21:30;13380
8;synergies open-;synthesize Concrete;Savings Account acce;Pre-emptive Officer primary;2019-12-08;Berkshire;2019-12-09;Niger;2019-12-08;c;W;alarm;cross-platform Investment Account;Key mobile Direct;Licensed withdrawal Quality;80888;43760;7641;25467;27936;84087;Gorgeous Fresh Cheese Stream withdrawal;e-enable P;Personal Loan A;M;C;2019-12-08;4783;4167;2019-12-09;2019-12-09T02:18:39;74620;2019-12-08;2019-12-08T12:31:45;7208
9;Ergonomic Steel;Green Director;reboot invoice grey;partnerships;2019-12-08;synthesizing Gorgeous Cotton C;2019-12-09;Cambridgeshire;2019-12-08;1;P;Djibouti Franc Music;Money Market Account;Generic Frozen Hat Camp Principal;back-end;29282;47433;97997;11395;60188;48601;Legacy Slovenia;deposit St;Unbranded Savin;s;J;2019-12-09;94307;27379;2019-12-08;2019-12-08T06:04:00;12150;2019-12-08;2019-12-08T23:36:24;49604
10;Baby Specialist;SCSI;Universal Egypt invo;Wall;2019-12-08;hard drive override deposit;2019-12-09;Saint Kitts and Nevis;2019-12-08;O;p;Metal;Licensed Manager Borders;copying;relationships quantify generate;61194;29754;10593;56502;15156;68888;COM;PNG initia;Overpass;o;c;2019-12-08;87981;80007;2019-12-08;2019-12-08T23:26:57;31092;2019-12-08;2019-12-08T10:31:47;73307
